"100K","1","126"
"100K","2","129"
"100K","5","125"
"500K","1","128"
"500K","2","128"
"500K","5","126"
"1M","1","127"
"1M","2","126"
"1M","5","127"
"100K","1","123"
"100K","2","130"
"100K","5","125"
"500K","1","129"
"500K","2","124"
"500K","5","123"
"1M","1","129"
"1M","2","129"
"1M","5","126"
"100K","1","124"
"100K","2","128"
"100K","5","125"
"500K","1","127"
"500K","2","128"
"500K","5","124"
"1M","1","129"
"1M","2","126"
"1M","5","127"
"100K","1","123"
"100K","2","129"
"100K","5","124"
"500K","1","128"
"500K","2","126"
"500K","5","126"
"1M","1","130"
"1M","2","130"
"1M","5","125"
